,env,orientation,d,epoch,src,nei,etl,rtl,uwb_exposure,uwb_lst_scheduled,uwb_lst_aborted,uwb_lst_timeout,uwb_req_scheduled,uwb_req_aborted,uwb_req_timeout,uwb_req_count,uwb_avg_d_cm,uwb_avg_los,uwb_avg_rssi,ble_exposure,ble_ble_scan_count,ble_avg_rssi,ble_avg_d_cm
0,plexiglass,front,0.5,73846608,AF:DE,5F:C2,64FA7C39F9A45AC9E4FF28ADAABB252191F34DD5A8B64CED30031ED80EB5DD7E,B6F41F9F9C896BC5F48B503E1088D49F3C2773CCFACCF8908673CB523D4CAB30,178,858,0,121,888,0,48,836,41,,,178,858,-48.9854965,9
1,plexiglass,front,0.5,73846608,5F:C2,AF:DE,B6F41F9F9C896BC5F48B503E1088D49F3C2773CCFACCF8908673CB523D4CAB30,64FA7C39F9A45AC9E4FF28ADAABB252191F34DD5A8B64CED30031ED80EB5DD7E,178,857,0,17,888,0,150,734,40,,,178,857,-48.827301,9
2,los,front,1.0,73818965,5F:C2,AF:DE,E21835D5F8F5B74A01EF707C9511FB267010527261992A0132A977299495681B,FA14BA6E132E05C0DA0DDC64E7C3F4A9F13DC857C6EA42D0BD47C5336A0945D7,178,837,0,11,889,0,86,799,93,,,178,837,-51.0014266,13
3,los,front,1.0,73818966,AF:DE,5F:C2,FA14BA6E132E05C0DA0DDC64E7C3F4A9F13DC857C6EA42D0BD47C5336A0945D7,E21835D5F8F5B74A01EF707C9511FB267010527261992A0132A977299495681B,178,826,0,24,890,0,64,825,93,,,178,826,-50.6877136,13
4,pocket,front,2.5,73852323,AF:DE,5F:C2,02FC3E9DAA34E7864E16E4D44B4B28231B67BAF2E97AB543A6425B67196AD188,430FE3D326996C5FA589908EE34321B53689708B3DB622FDFB652129F706B8AD,178,822,0,145,888,0,224,663,249,,,178,822,-58.2828331,43
5,pocket,front,2.5,73852322,5F:C2,AF:DE,430FE3D326996C5FA589908EE34321B53689708B3DB622FDFB652129F706B8AD,02FC3E9DAA34E7864E16E4D44B4B28231B67BAF2E97AB543A6425B67196AD188,178,825,0,162,889,0,213,676,249,,,178,825,-58.1061363,41
6,backpack,front,0.5,73909961,AF:DE,5F:C2,DA36F6F6979E7C98C850E219BECDBCA56F79ACD29AB1364D83CC982873150657,B95D55C148210FECED9DAC22605442E1611C84247E17BFB07327C15F56EA1781,178,851,0,15,888,0,52,835,53,,,178,851,-62.7474785,86
7,backpack,front,0.5,73909961,5F:C2,AF:DE,B95D55C148210FECED9DAC22605442E1611C84247E17BFB07327C15F56EA1781,DA36F6F6979E7C98C850E219BECDBCA56F79ACD29AB1364D83CC982873150657,178,854,0,18,889,0,54,834,52,,,178,854,-62.7118873,86
8,pocket,back,2.0,73851206,AF:DE,5F:C2,70B3C026C1D18D520DA263E2AD581ADFBC845D950F0DD70F5087A3945DF8D88C,31F4AE79B800649AC544F97ECE677863D84F6A0069852B95195957AD984ADD11,178,748,0,162,888,0,309,576,303,,,178,748,-72.8067322,422
9,pocket,back,2.0,73851205,5F:C2,AF:DE,31F4AE79B800649AC544F97ECE677863D84F6A0069852B95195957AD984ADD11,70B3C026C1D18D520DA263E2AD581ADFBC845D950F0DD70F5087A3945DF8D88C,178,775,0,198,889,0,303,583,292,,,178,775,-72.6132278,410
