,env,method,orientation,d,src,nei,d_est,d_err_absolute,d_err_relative
0,los,riot,front,1.0,C3:29,57:81,0.9723473,0.027652699999999975,0.027652699999999975
1,los,riot,front,1.0,C3:29,57:81,0.9915233,0.008476700000000004,0.008476700000000004
2,los,riot,front,1.0,C3:29,57:81,0.9852776,0.014722400000000024,0.014722400000000024
3,los,riot,front,1.0,C3:29,57:81,1.0046371,0.004637100000000061,0.004637100000000061
4,los,riot,front,1.0,C3:29,57:81,1.008355,0.00835499999999989,0.00835499999999989
5,los,riot,front,1.0,C3:29,57:81,0.9782552,0.02174480000000001,0.02174480000000001
6,los,riot,front,1.0,C3:29,57:81,1.022634,0.022634000000000043,0.022634000000000043
7,los,riot,front,1.0,C3:29,57:81,1.0132391,0.01323910000000006,0.01323910000000006
8,los,riot,front,1.0,C3:29,57:81,1.0029007,0.0029007000000000893,0.0029007000000000893
9,los,riot,front,1.0,C3:29,57:81,0.9902987,0.009701300000000024,0.009701300000000024
10,los,riot,front,1.0,C3:29,57:81,0.98375,0.016249999999999987,0.016249999999999987
11,los,riot,front,1.0,C3:29,57:81,0.9700914,0.029908599999999952,0.029908599999999952
12,los,riot,front,1.0,C3:29,57:81,1.0529387,0.052938699999999894,0.052938699999999894
13,los,riot,front,1.0,C3:29,57:81,0.9802639,0.019736100000000034,0.019736100000000034
14,los,riot,front,1.0,C3:29,57:81,1.0025243,0.002524299999999924,0.002524299999999924
15,los,riot,front,1.0,C3:29,57:81,1.0264625,0.026462500000000055,0.026462500000000055
16,los,riot,front,1.0,C3:29,57:81,1.001663,0.00166299999999997,0.00166299999999997
17,los,riot,front,1.0,C3:29,57:81,0.9597412,0.04025880000000004,0.04025880000000004
18,los,riot,front,1.0,C3:29,57:81,0.9960009,0.003999100000000033,0.003999100000000033
19,los,riot,front,1.0,C3:29,57:81,1.0444594,0.04445940000000004,0.04445940000000004
20,los,riot,front,1.0,C3:29,57:81,1.0318585,0.03185850000000001,0.03185850000000001
21,los,riot,front,1.0,C3:29,57:81,1.011846,0.011846000000000023,0.011846000000000023
22,los,riot,front,1.0,C3:29,57:81,0.9917234,0.008276599999999967,0.008276599999999967
23,los,riot,front,1.0,C3:29,57:81,1.0372276,0.03722760000000003,0.03722760000000003
24,los,riot,front,1.0,C3:29,57:81,1.0003023,0.0003022999999999776,0.0003022999999999776
25,los,riot,front,1.0,C3:29,57:81,1.0033656,0.0033655999999999686,0.0033655999999999686
26,los,riot,front,1.0,C3:29,57:81,1.0115535,0.011553499999999994,0.011553499999999994
27,los,riot,front,1.0,C3:29,57:81,1.0155652,0.015565199999999946,0.015565199999999946
28,los,riot,front,1.0,C3:29,57:81,1.0021859,0.002185899999999963,0.002185899999999963
29,los,riot,front,1.0,C3:29,57:81,1.0146065,0.014606499999999967,0.014606499999999967
30,los,riot,front,1.0,C3:29,57:81,0.9621363,0.037863699999999945,0.037863699999999945
31,los,riot,front,1.0,C3:29,57:81,1.0150796,0.01507959999999997,0.01507959999999997
32,los,riot,front,1.0,C3:29,57:81,1.0052113,0.00521130000000003,0.00521130000000003
33,los,riot,front,1.0,C3:29,57:81,0.9524648,0.0475352,0.0475352
34,los,riot,front,1.0,C3:29,57:81,0.9864877,0.013512300000000033,0.013512300000000033
35,los,riot,front,1.0,C3:29,57:81,0.9555024,0.044497600000000026,0.044497600000000026
36,los,riot,front,1.0,C3:29,57:81,1.0221276,0.022127599999999914,0.022127599999999914
37,los,riot,front,1.0,C3:29,57:81,1.0213353,0.021335300000000057,0.021335300000000057
38,los,riot,front,1.0,C3:29,57:81,1.0020042,0.0020042000000000115,0.0020042000000000115
39,los,riot,front,1.0,C3:29,57:81,1.0354465,0.035446499999999936,0.035446499999999936
40,los,riot,front,1.0,C3:29,57:81,0.9671577,0.03284229999999999,0.03284229999999999
41,los,riot,front,1.0,C3:29,57:81,1.0006711,0.0006710999999999245,0.0006710999999999245
42,los,riot,front,1.0,C3:29,57:81,1.0362225,0.036222500000000046,0.036222500000000046
43,los,riot,front,1.0,C3:29,57:81,0.990304,0.009696000000000038,0.009696000000000038
44,los,riot,front,1.0,C3:29,57:81,0.9742051,0.025794899999999954,0.025794899999999954
45,los,riot,front,1.0,C3:29,57:81,1.031326,0.031325999999999965,0.031325999999999965
46,los,riot,front,1.0,C3:29,57:81,0.9852124,0.014787600000000012,0.014787600000000012
47,los,riot,front,1.0,C3:29,57:81,0.9919565,0.008043499999999981,0.008043499999999981
48,los,riot,front,1.0,C3:29,57:81,0.9829773,0.017022699999999946,0.017022699999999946
49,los,riot,front,1.0,C3:29,57:81,0.9775478,0.022452200000000033,0.022452200000000033
50,los,riot,front,1.0,C3:29,57:81,0.9571927,0.04280729999999999,0.04280729999999999
51,los,riot,front,1.0,C3:29,57:81,1.0023471,0.0023470999999999353,0.0023470999999999353
52,los,riot,front,1.0,C3:29,57:81,1.0168453,0.016845299999999952,0.016845299999999952
53,los,riot,front,1.0,C3:29,57:81,0.9692121,0.03078789999999998,0.03078789999999998
54,los,riot,front,1.0,C3:29,57:81,0.9886664,0.011333600000000055,0.011333600000000055
55,los,riot,front,1.0,C3:29,57:81,0.994814,0.005186000000000024,0.005186000000000024
56,los,riot,front,1.0,C3:29,57:81,0.986916,0.013083999999999985,0.013083999999999985
57,los,riot,front,1.0,C3:29,57:81,0.9713736,0.028626400000000052,0.028626400000000052
58,los,riot,front,1.0,C3:29,57:81,0.9510593,0.04894069999999995,0.04894069999999995
59,los,riot,front,1.0,C3:29,57:81,0.9558333,0.0441667,0.0441667
60,los,riot,front,1.0,C3:29,57:81,1.0051072,0.0051072000000000894,0.0051072000000000894
61,los,riot,front,1.0,C3:29,57:81,0.9820045,0.017995500000000053,0.017995500000000053
62,los,riot,front,1.0,C3:29,57:81,1.0119237,0.011923700000000093,0.011923700000000093
63,los,riot,front,1.0,C3:29,57:81,1.0081912,0.008191199999999954,0.008191199999999954
64,los,riot,front,1.0,C3:29,57:81,0.9907434,0.009256599999999948,0.009256599999999948
65,los,riot,front,1.0,C3:29,57:81,0.9561374,0.043862599999999974,0.043862599999999974
66,los,riot,front,1.0,C3:29,57:81,0.9846673,0.015332699999999977,0.015332699999999977
67,los,riot,front,1.0,C3:29,57:81,1.0088138,0.008813799999999983,0.008813799999999983
