,env,nei_count,backoff,d,epoch,src,nei,etl,rtl,uwb_exposure,uwb_lst_scheduled,uwb_lst_aborted,uwb_lst_timeout,uwb_req_scheduled,uwb_req_aborted,uwb_req_timeout,uwb_req_count,uwb_avg_d_cm,uwb_avg_los,uwb_avg_rssi
0,iotlab-lille,7,30,1.8515128949051394,75595132,28:6B,15:7D,4DD8411169294EF2339181FFBEE36BC7364B601F2EF4EBE43401FE0C076C39E6,F01A838B64713610407B36F09F132542E0EFF338BDF93FB76CD3931F0A4F5A6C,836,30,0,1,85,0,57,28,179,,
1,iotlab-lille,7,30,3.86627727924421,75595132,28:6B,C3:5D,A581BF5A171A2528B79926774BF3BBB905FDF111D93940A03C896A263F6109B7,1AB6CCCBC0F92F9A247056216FB2351DD2F4B83E6491F58805D064ECE61C229A,841,29,0,1,89,0,61,28,392,,
2,iotlab-lille,7,30,4.800000000000001,75595132,28:6B,54:BB,243B4D4F25A975D4DD1B59F57F666BB1C66FA0BF4107122302872AC7C190A7FA,D68202CF455FFB93586E99F869441BB541E8AC1527F929C5D264DB9FBBD1E4FF,841,32,0,2,89,0,60,29,490,,
3,iotlab-lille,7,30,2.7905555002543854,75595132,28:6B,0B:6D,3CDF0E5BD14221A69F935C603FB5679CE25BFE3308C5425DC8FF32F261F3947A,A9ECA9FA99B676B509951FE915A109FFEAF32E4AB21A309B17DD6CF4A8D36E01,840,30,0,1,95,0,66,29,287,,
4,iotlab-lille,7,30,4.7103290755530045,75595132,28:6B,69:AD,7D76BFB0DF102043E88D6376607FE2E8BA785BF29EAABABF0B91E46202B859B5,77FCC45D016FC2C5B5A105252A0F9961C947E74BEBD8E8D863583FAA7246DF54,841,30,0,1,91,0,62,29,494,,
5,iotlab-lille,7,30,4.192755657082822,75595132,28:6B,12:A7,781AA4FB03F0C1399E049DC99ADFA097F10EA7D2DD2AC75AB1D104944217C3D1,B7995CC179B8BCBD737CC74D2597375A8214BFD257F1D03476B9B619F3896B80,835,30,0,1,82,0,54,28,425,,
6,iotlab-lille,7,30,5.655015473011549,75595132,28:6B,F0:BB,5B6679C72378532906DE7C194959A2E1E22F7A5311E57080325E059F25B01FF7,8D909D3820135A23998F5CFE75A357EE67F3BE6B2CE152EAB9DECCCA74ACE7A8,835,29,0,1,87,0,58,29,575,,
7,iotlab-lille,7,30,1.8515128949051394,75595133,15:7D,28:6B,F01A838B64713610407B36F09F132542E0EFF338BDF93FB76CD3931F0A4F5A6C,4DD8411169294EF2339181FFBEE36BC7364B601F2EF4EBE43401FE0C076C39E6,831,29,0,1,90,0,61,29,178,,
8,iotlab-lille,7,30,2.3999999999999986,75595133,15:7D,C3:5D,9E94E783DDFFDC9CE08E3737B15DA7CC37F8DD9C94239F25AD3D0D01CEAB5912,3949C970CEB99C6841FEA1F6200E3891066412477E2175C13E333B0BB0E14DAF,841,32,0,2,99,0,70,29,245,,
9,iotlab-lille,7,30,3.866277279244207,75595133,15:7D,54:BB,A64774A4615AF1832E2E560B543FEBDCFA2895FFE17A6B16897DDDDCB5C65D5B,7994F2E7292019FDC88A99219DF5C157A8BC44B552930A8E92D536EE34920C2E,841,30,0,1,102,0,73,29,395,,
10,iotlab-lille,7,30,1.1696580696938728,75595133,15:7D,0B:6D,4AE049C93BEE776F9961E216B9DB5782C092C1C4F04C9D4412B467C16B13E771,648C394639C56DAE3A4344CF9845200F6AA9CE23AB52B6DB0EDB39656869E61F,836,29,0,1,95,0,66,29,113,,
11,iotlab-lille,7,30,3.163558123379433,75595133,15:7D,69:AD,8499C5F9451EB750728FE6922E26B0B37DA15E9CD92B8EF8E911EA079394850C,4E5F566876099F2379D4AA9757E04F86FC2D24676651DFFBA0DE4F1E1C27E90E,842,31,0,2,106,0,77,29,318,,
12,iotlab-lille,7,30,3.3406735847729867,75595133,15:7D,12:A7,7320750EE9DC3818B422F7160877D96F3B05FE6F6C3BB2D7B329E6720F82DEA5,76696DD814E0A8B55D9AC07EAC62EBD4555D8163EBBF0C24EB0045FDCF8BEBE5,851,30,0,1,112,0,84,28,330,,
13,iotlab-lille,7,30,4.4497303289075845,75595133,15:7D,F0:BB,1BBB2E65B5BEBC98259D631A631C7C7C51B58B67EE16189DCC0E99219E6B51CE,EEF9419E39E00940AC9B2AC7188DCC47B10B6297DB243B449E54FA3CFFE924CE,836,30,0,1,99,0,71,28,442,,
14,iotlab-lille,7,30,3.86627727924421,75595132,C3:5D,28:6B,1AB6CCCBC0F92F9A247056216FB2351DD2F4B83E6491F58805D064ECE61C229A,A581BF5A171A2528B79926774BF3BBB905FDF111D93940A03C896A263F6109B7,829,29,0,1,93,0,64,28,390,,
15,iotlab-lille,7,30,2.3999999999999986,75595132,C3:5D,15:7D,3949C970CEB99C6841FEA1F6200E3891066412477E2175C13E333B0BB0E14DAF,9E94E783DDFFDC9CE08E3737B15DA7CC37F8DD9C94239F25AD3D0D01CEAB5912,834,31,0,2,97,0,67,30,254,,
16,iotlab-lille,7,30,1.8515128949051372,75595132,C3:5D,54:BB,9B681C41BB970D737708FF6013354D7498F691952FCE26767120DEAF6E78E06A,85E875DF9B4373082C06C876984B89F26B8E0C845BF235B6FA45D069CCFB7038,830,30,0,1,93,0,64,28,186,,
17,iotlab-lille,7,30,2.0610919436065926,75595132,C3:5D,0B:6D,4FEB799E851B89F5354BAECC50DC9ABD1EF7B3609BD7A5EE52E58FCA7D7EB4E5,AC5EE0840AD713474B3DD8DB1F90F724256151C71CF421C95DE31FD28C0D75CB,835,31,0,3,96,0,66,30,209,,
18,iotlab-lille,7,30,1.1696580696938745,75595132,C3:5D,69:AD,CB45F1B598FA51705785A684B61BD61FC04F7DE89D7AEB182A6AA8CE66C2D695,232EAC48FBA157DF5E256D892C41F76F4D10B9C862EFD95CA8077F52B01F6C57,840,30,0,1,101,0,73,28,117,,
19,iotlab-lille,7,30,3.747012143028096,75595132,C3:5D,12:A7,45F08C6AEF8D3BD399EC9FD4EC8B0C98E5CF354FCD95E0A0606E80BA267FF60B,F848626A7110FE11DCD667EFB2EFEB0524678210D27D16A23CFB5F22BE33DEE7,852,29,0,1,115,0,87,28,386,,
20,iotlab-lille,7,30,3.340673584772987,75595132,C3:5D,F0:BB,BE536D419B641866F08EBA189F7DD3667526703FE65889429D65EB7BC3E3766D,2B43B599C5F079706442F088E376A32BF9EA4729FBA0739BECD5D5DB8FA70D41,841,30,0,1,103,0,75,28,331,,
21,iotlab-lille,7,30,4.800000000000001,75595132,54:BB,28:6B,D68202CF455FFB93586E99F869441BB541E8AC1527F929C5D264DB9FBBD1E4FF,243B4D4F25A975D4DD1B59F57F666BB1C66FA0BF4107122302872AC7C190A7FA,835,32,0,3,100,0,70,30,490,,
22,iotlab-lille,7,30,3.866277279244207,75595132,54:BB,15:7D,7994F2E7292019FDC88A99219DF5C157A8BC44B552930A8E92D536EE34920C2E,A64774A4615AF1832E2E560B543FEBDCFA2895FFE17A6B16897DDDDCB5C65D5B,830,30,0,1,96,0,67,29,397,,
23,iotlab-lille,7,30,1.8515128949051372,75595132,54:BB,C3:5D,85E875DF9B4373082C06C876984B89F26B8E0C845BF235B6FA45D069CCFB7038,9B681C41BB970D737708FF6013354D7498F691952FCE26767120DEAF6E78E06A,830,29,0,1,98,0,68,29,187,,
